제목,저자,게시 날짜,출처,권,호,페이지,게시자,설명,전체 인용횟수,학술 문서,컨퍼런스,저널,도서,발명자,특허청,특허 번호,출원번호,기관
Unconstrained still/video-based face verification with deep convolutional neural networks,"Jun-Cheng Chen, Rajeev Ranjan, Swami Sankaranarayanan, Amit Kumar, Ching-Hui Chen, Vishal M Patel, Carlos D Castillo, Rama Chellappa",2018/4,,126,2,272-291,Springer US,"Over the last 5 years, methods based on Deep Convolutional Neural Networks (DCNNs) have shown impressive performance improvements for object detection and recognition problems. This has been made possible due to the availability of large annotated datasets, a better understanding of the non-linear mapping between input images and class labels as well as the affordability of GPUs. In this paper, we present the design details of a deep learning system for unconstrained face recognition, including modules for face detection, association, alignment and face verification. The quantitative performance evaluation is conducted using the IARPA Janus Benchmark A (IJB-A), the JANUS Challenge Set 2 (JANUS CS2), and the Labeled Faces in the Wild (LFW) dataset. The IJB-A dataset includes real-world unconstrained faces of 500 subjects with significant pose and illumination variations which are much …",42회,"Unconstrained still/video-based face verification with deep convolutional neural networks
JC Chen, R Ranjan, S Sankaranarayanan, A Kumar… - International Journal of Computer Vision, 2018
42회 인용 관련 학술자료 전체 6개의 버전",,International Journal of Computer Vision,,,,,,
Two‐Dimensional Layered Materials as Catalyst Supports,"Amit Kumar, Qiang Xu",2018/1,ChemNanoMat,4,1,28-40,,"Since the successful isolation of graphene, two‐dimensional (2D) materials have attracted immense interest in contemporary chemical research owing to their unique structural and chemical properties with potential scientific applications. Layered 2D materials show different characteristics from bulk 3D materials owing to significant alterations in their electronic and structural behavior. From the last decade, 2D materials including graphene have been extensively investigated as supports for metal nanoparticles (NPs) exhibiting excellent catalytic activity towards various chemical and electrochemical reactions. This review focuses on the recent advances of graphene and other 2D layered materials as catalyst supports, their interactions with metal precursors, and catalytic applications. The catalytic behavior of metal NPs supported on 2D materials has been discussed regarding various electrochemical oxidation and …",42회,"Two‐Dimensional Layered Materials as Catalyst Supports
A Kumar, Q Xu - ChemNanoMat, 2018
42회 인용 관련 학술자료",,,,,,,,
Search for a light pseudoscalar Higgs boson produced in association with bottom quarks in pp collisions at s = 8 TeV,"Albert M Sirunyan, Armen Tumasyan, Wolfgang Adam, Federico Ambrogi, Ece Asilar, Thomas Bergauer, Johannes Brandstetter, Erica Brondolin, Marko Dragicevic, Janos Erö, Martin Flechl, Markus Friedl, Rudolf Fruehwirth, Vasile Mihai Ghete, Johannes Grossmann, Josef Hrubec, Manfred Jeitler, Axel König, Natascha Krammer, Ilse Krätschmer, Dietrich Liko, Thomas Madlener, Ivan Mikulec, Elias Pree, Dinyar Rabady, Navid Rad, Herbert Rohringer, Jochen Schieck, Robert Schöfbeck, Markus Spanring, Daniel Spitzbart, Wolfgang Waltenberger, Johannes Wittmann, C-E Wulz, Mateusz Zarucki, Vladimir Chekhovsky, Vladimir Mossolov, J Suarez Gonzalez, Eddi A De Wolf, Davide Di Croce, Xavier Janssen, Jasper Lauwers, Hans Van Haevermaet, Pierre Van Mechelen, Nick Van Remortel, S Abu Zeid, Freya Blekman, Jorgen D’Hondt, Isabelle De Bruyn, Jarne De Clercq, Kevin Deroover, Giannis Flouris, Denys Lontkovskyi, Steven Lowette, Seth Moortgat, Lieselotte Moreels, Quentin Python, Kirill Skovpen, Stefaan Tavernier, Walter Van Doninck, Petra Van Mulders, Isis Van Parijs, Hugues Brun, Barbara Clerbaux, Gilles De Lentdecker, Hugo Delannoy, Giuseppe Fasanella, Laurent Favart, Reza Goldouzian, Anastasia Grebenyuk, Georgia Karapostoli, Thomas Lenzi, Jelena Luetic, Thierry Maerschalk, Andrey Marinov, Aidan Randle-Conde, Tomislav Seva, C Vander Velde, P Vanlaer, D Vannerom, R Yonamine, F Zenoni, F Zhang, Anna Cimmino, Tom Cornelis, Didar Dobur, Alexis Fagot, Muhammad Gul, Illia Khvastunov, D Poyraz, Christos Roskas, Sinem Salva, Michael Tytgat, Willem Verbeke, Nikolaos Zaganidis, H Bakhshiansohi, O Bondu, S Brochet, G Bruno, A Caudron, S De Visscher, C Delaere, M Delcourt, B Francois, A Giammanco, A Jafari, M Komm, G Krintiras, V Lemaitre, A Magitteri, A Mertens, M Musich, K Piotrzkowski, L Quertenmont, M Vidal Marono, S Wertz, N Beliy, WL Aldá Júnior, FL Alves, GA Alves, L Brito, M Correa Martins Junior, C Hensel, A Moraes, ME Pol, P Rebello Teles, E Belchior Batista Das Chagas, W Carvalho, J Chinellato, A Custodio, EM Da Costa, GG Da Silveira, D De Jesus Damiao, S Fonseca De Souza, LM Huertas Guativa, H Malbouisson, M Melo De Almeida, C Mora Herrera, L Mundim, H Nogima, A Santoro, A Sznajder, EJ Tonelli Manganote, F Torres Da Silva De Araujo, A Vilela Pereira, S Ahuja, CA Bernardes, TR Fernandez Perez Tomei, EM Gregores, PG Mercadante",2017/11,,2017,11,1-35,Springer Berlin Heidelberg,"A search for a light pseudoscalar Higgs boson (A) produced in association with bottom quarks and decaying into a muon pair is reported. The search uses 19.7 fb− 1 of proton-proton collisions at a center-of-mass energy of 8 TeV, collected by the CMS experiment. No signal is observed in the dimuon mass range from 25 to 60 GeV. Upper limits on the cross section times branching fraction,, are set.",42회,"Search for a light pseudoscalar Higgs boson produced in association with bottom quarks in pp collisions at s= 8$$\sqrt {s}= 8$$ TeV
AM Sirunyan, A Tumasyan, W Adam, F Ambrogi… - Journal of High Energy Physics, 2017
42회 인용 관련 학술자료 전체 62개의 버전
Search for a light pseudoscalar Higgs boson produced in association with bottom quarks in pp collisions at $\sqrt {s}= 8$ TeV
A Nayak, P Bargassa, C Beirão Da Cruz E Silva… - 2017
관련 학술자료
Search for a light pseudoscalar Higgs boson produced in association with bottom quarks in pp collisions at sqrt (s)= 8 TeV*
S Belforte, V Candelise, M Casarsa, G Della Ricca… - 2017
관련 학술자료
Search for a light pseudoscalar Higgs boson produced in association with bottom quarks in pp collisions at $\sqrt {s} $= 8 TeV
TK Aarrestad, L Caminada, A de Cosa, R Del Burgo… - Journal of High Energy Physics, 2017
관련 학술자료",,Journal of High Energy Physics,,,,,,
Evidences for Piperine inhibiting cancer by targeting human G-quadruplex DNA sequences,"Arpita Tawani, Ayeman Amanullah, Amit Mishra, Amit Kumar",2016/12/20,,6,1,1-12,Nature Publishing Group,"Piperine, a naturally occurring alkaloid, is well known as anti-oxidant, anti-mutagenic, anti-tumor and anti-proliferative agent. Piperine exerts such pharmacological activities by binding or interacting with various cellular targets. Recently, the first report for Piperine interaction with duplex DNA has been published last year but its interaction with G-quadruplex structures has not been studied yet. Herein, we report for the first time the interaction of Piperine with various DNA G-quadruplex structures. Comprehensive biophysical techniques were employed to determine the basis of interaction for the complex formed between Piperine and G-quadruplex DNA sequences. Piperine showed specificity for G-quadruplex DNA over double stranded DNA, with highest affinity for G-quadruplex structure formed at c-myc promoter region. Further, in-vitro studies show that Piperine causes apoptosis-mediated cell death that further …",42회,"Evidences for Piperine inhibiting cancer by targeting human G-quadruplex DNA sequences
A Tawani, A Amanullah, A Mishra, A Kumar - Scientific reports, 2016
42회 인용 관련 학술자료 전체 10개의 버전",,Scientific reports,,,,,,
Molecular diversity and functional variability of environmental isolates of Bacillus species,"Ajay Kumar, Amit Kumar, Amit Pratush",2014/12,,3,1,1-11,SpringerOpen,"In the present study, out of 264 phosphate (P) solubilizing Bacillus strains isolated from apple rhizosphere, only twelve isolates were found to be efficient (showed most of the plant growth promoting activity) which were further characterized at molecular level using 16S rDNA partial gene sequencing. Out of 12 isolates, MZPSB 207 was found to be most efficient P-solubilizing (864.71 μg/ml) isolate which also showed indole acetic acid production (51.83 μg/ml), siderophore production, ammonia production, antagonistic property (against Rhizoctonia solani and Fusarium oxysporum), hydrolytic enzymes productions (protease, chitinase and cellulase), 1-aminocyclopropane-1-carboxylate (ACC) deaminase production (7.7 μm αKB mg-1 h-1). The in-vitro seed germination assay showed that Bacillus (twelve isolates) inoculated seeds showed more seed germination and seedling vigor rate as compared to uninoculated …",42회,"Molecular diversity and functional variability of environmental isolates of Bacillus species
A Kumar, A Kumar, A Pratush - SpringerPlus, 2014
42회 인용 관련 학술자료 전체 15개의 버전",,SpringerPlus,,,,,,
Soft tissue coverage in open fractures of tibia,"Jagannath B Kamath, M Shantaram Shetty, Thangam Verghese Joshua, Ajith Kumar, Deepak M Naik",2012/8,,46,,462-469,Springer India,"Background
The treatment of Gustilo Anderson type 3B open fracture tibia is a major challenge and it needs aggressive debridement, adequate fixation, and early flap coverage of soft tissue defect. The flaps could be either nonmicrovascular which are technically less demanding or microvascular which has steep learning curve and available only in few centers. An orthopedic surgeon with basic knowledge of the local vascular anatomy required to harvest an appropriate local or regional flap will be able to manage a vast majority of open fracture tibia, leaving the very few complicated cases needing a free microvascular flap to be referred to specialized tertiary center. This logical approach to the common problem will also lessen the burden on the higher tertiary centers. We report a retrospective study of open fractures of leg treated by nonmicrovascular flaps to analyze (1) the role of …",42회,"Soft tissue coverage in open fractures of tibia
JB Kamath, MS Shetty, TV Joshua, A Kumar, DM Naik - Indian journal of orthopaedics, 2012
42회 인용 관련 학술자료 전체 11개의 버전",,Indian journal of orthopaedics,,,,,,
Magnetically Recoverable Pd/Fe3O4-Catalyzed Hiyama Cross-Coupling of Aryl Bromides with Aryl Siloxanes,"B Sreedhar, A Suresh Kumar, Divya Yada",2011/5,,2011,08,1081-1084,© Georg Thieme Verlag Stuttgart˙ New York,"This letter describes a simple and efficient method for the synthesis of biaryls by fluoride-free Hiyama cross-coupling of bromoarenes with aryl siloxanes using magnetically separable Pd/Fe 3 O 4 as the catalyst under aqueous conditions. This methodology is applicable to wide range of aryl bromides and aryl siloxanes. High catalytic activity, ease of recovery using an external magnetic field and use of water as the solvent are additional eco-friendly attributes of this catalytic system. The catalyst was recycled five times without significant loss of catalytic activity.",42회,"Magnetically Recoverable Pd/Fe3O4-Catalyzed Hiyama Cross-Coupling of Aryl Bromides with Aryl Siloxanes
B Sreedhar, AS Kumar, D Yada - Synlett, 2011
42회 인용 관련 학술자료 전체 5개의 버전",,Synlett,,,,,,
Soft tissue cysticercosis-Ultrasonographic spectrum of the disease,"Deepti Naik, MG Srinath, Ashok Kumar",2011/1,,21,1,60,Wolters Kluwer--Medknow Publications,"This case series emphasizes the role of USG in the diagnosis of isolated soft tissue cysticercosis. We assessed its value for identifying features such as the location of the cyst, the presence or absence of abscess, and the presence or absence of a scolex within the cyst. Three USG patterns were seen and are described.",42회,"Soft tissue cysticercosis-Ultrasonographic spectrum of the disease
D Naik, MG Srinath, A Kumar - The Indian journal of radiology & imaging, 2011
42회 인용 관련 학술자료 전체 13개의 버전",,The Indian journal of radiology & imaging,,,,,,
Low high-density lipoprotein cholesterol: current status and future strategies for management,"Vibhuti Singh, Rakesh Sharma, Ajoy Kumar, Prakash Deedwania",2010,Vascular health and risk management,6,,979,Dove Press,"Atherosclerotic cardiovascular disease is the foremost cause of death and disability in the Western world, and it is rapidly becoming so in the developing nations. Even though the use of statin therapy aiming at the low-density lipoprotein cholesterol (LDL) has significantly reduced cardiovascular events and mortality, substantial residual cardiac events still occur in those being treated to the currently recommended targets. In fact, residual risk is also seen in those who are treated “aggressively” such as the “high risk” patients so defined by the National Cholesterol Education Program (NCEP) Adult Treatment Panel III (ATP III). Consequently, one must look for the predictors of risk beyond LDL reduction. High-density lipoprotein cholesterol (HDL) is the next frontier. The protectiveness of elevated HDL against atherosclerosis is well described in the literature. HDL subdues several atherogenic processes, such as …",42회,"Low high-density lipoprotein cholesterol: current status and future strategies for management
V Singh, R Sharma, A Kumar, P Deedwania - Vascular health and risk management, 2010
42회 인용 관련 학술자료 전체 12개의 버전",,,,,,,,
Atherogenic dyslipidemia and diabetes mellitus: what’s new in the management arena?,"Ajoy Kumar, Vibhuti Singh",2010,Vascular health and risk management,6,,665,Dove Press,"When compared with the general population, the diabetic population is at higher risk of cardiovascular disease (CVD), as predicted by the Framingham Risk Score calculations (10-year risk 20%). For this reason diabetes is considered a “coronary disease equivalent” condition, as classified by the National Cholesterol Education Program Adult Treatment Panel (NCEP-ATP) III. Furthermore, patients with diabetes who experience a myocardial infarction have a poorer prognosis than nondiabetic patients, which contributes to their overall higher mortality. Dyslipidemia is a major underlying risk factor contributing to the excess CVD risk, and is usually more atherogenic in the presence of diabetes. It is uniquely manifested by raised levels of triglycerides, low levels of high-density lipoprotein cholesterol, and smaller, denser, and more atherogenic low-density lipoprotein particles. Recent trials have suggested the need for …",42회,"Atherogenic dyslipidemia and diabetes mellitus: what’s new in the management arena?
A Kumar, V Singh - Vascular health and risk management, 2010
42회 인용 관련 학술자료 전체 11개의 버전",,,,,,,,
"Fluvial architecture of the Upper Permian Raniganj coal measure in the Damodar basin, Eastern India","SM Casshyap, Ajay Kumar",1987/2/1,,51,3-4,181-213,Elsevier,"The Upper Permian Raniganj Formation of the Damodar basin consists of an interbedded assemblage of sandstone, shale, carbonaceous shale, and coal facies. The trough cross-bedded sandstone bodies (St facies) formed by migration of dunes in sand bar/point bars are widely developed in the lower part of Raniganj Formation; the planar cross-bedded facies (Sp) of transverse and diagonal bars and massive sandstone of longitudinal bars abound in the upper part of the eastern Raniganj and Jharia coalfields. The succeeding ripple cross-laminated (Sr) facies with or without reactivation surface, alternating with thick beds of fine clastics, suggestive of flood deposits, is widespread in the western Bokaro and North Karanpura coalfields. Markov chain statistics reveals a fining-upward cyclical order of superposition throughout the Raniganj sequence.
The integrated results of paleocurrent, channel morphology …",42회,"Fluvial architecture of the Upper Permian Raniganj coal measure in the Damodar basin, Eastern India
SM Casshyap, A Kumar - Sedimentary Geology, 1987
42회 인용 관련 학술자료 전체 6개의 버전",,Sedimentary Geology,,,,,,
"Ovarian cysts in dairy cows: old and new concepts for definition, diagnosis and therapy","K Jeengar, V Chaudhary, A Kumar, S Raiya, M Gaur, GN Purohit",2018/7/26,Animal Reproduction (AR),11,2,63-73,Colégio Brasileiro de Reprodução Animal,"Ovarian Cyst (OC) is an important ovarian dysfunction and a major cause of reproductive failure in dairy cattle. Previously defined as enlarged anovulatory follicle like structures (< 2.5 cm) and persisting for 10 or more days OC in dairy cows are currently defined as cystic ovarian follicular structures of at least 17 mm that persist for more than 6 days in the absence of corpus luteum. However, clear cut definitions of this disorder are yet to be made. Past evaluations of OC using transrectal palpations have increased, and accurate diagnosis currently employs a combination of transrectal palpation, transrectal ultrasonography and plasma progesterone assay. However, the accurate diagnosis of the type of OC seems less important as therapies are similar for both the types of OC and clinicians often evaluate the OC again under conditions of pregnancy failures. During earlier times, the manual rupture of OC was advocated, yet during the past several years single or combination hCG, GnRH, progesterone and prostaglandins have been frequent in clinical practice. Other therapies include estrogen receptor blocker clomiphene citrate and trans-vaginal ultrasound guided cystic follicle aspiration. Among the various therapies suggested the OvSynch treatment appears to be the most logical approach, yet the pregnancy rates with timed inseminations following therapy with the OvSynch treatment are low, as with other hormonal treatments. The success of therapy is governed by many confounding variables such as persistence of the cystic follicles and initiation of therapy as pathological alterations that occur following OC persistence require some time for …",41회,"Ovarian cysts in dairy cows: old and new concepts for definition, diagnosis and therapy
K Jeengar, V Chaudhary, A Kumar, S Raiya, M Gaur… - Animal Reproduction (AR), 2018
41회 인용 관련 학술자료 전체 13개의 버전",,,,,,,,
"Identification of potential inhibitors of Fasciola gigantica thioredoxin1: computational screening, molecular dynamics simulation, and binding free energy studies","Rohit Shukla, Harish Shukla, Parismita Kalita, Amit Sonkar, Tripti Pandey, Dev Bukhsh Singh, Awanish Kumar, Timir Tripathi",2018/6/11,,36,8,2147-2162,Taylor & Francis,"Fasciola gigantica is the causative organism of fascioliasis and is responsible for major economic losses in livestock production globally. F. gigantica thioredoxin1 (FgTrx1) is an important redox-active enzyme involved in maintaining the redox homeostasis in the cell. To identify a potential anti-fasciolid compound, we conducted a structure-based virtual screening of natural compounds from the ZINC database (n = 1,67,740) against the FgTrx1 structure. The ligands were docked against FgTrx1 and 309 ligands were found to have better docking score. These compounds were evaluated for Lipinski and ADMET prediction, and 30 compounds were found to fit well for re-docking studies. After refinement by molecular docking and drug-likeness analysis, three potential inhibitors (ZINC15970091, ZINC9312362, and ZINC9312661) were identified. These three ligands were further subjected to molecular dynamics …",41회,"Identification of potential inhibitors of Fasciola gigantica thioredoxin1: computational screening, molecular dynamics simulation, and binding free energy studies
R Shukla, H Shukla, P Kalita, A Sonkar, T Pandey… - Journal of Biomolecular Structure and Dynamics, 2018
41회 인용 관련 학술자료 전체 6개의 버전",,Journal of Biomolecular Structure and Dynamics,,,,,,
Augmenting search results with relevant third-party application content,,2015/8/11,,,,,,"Methods, computer systems, and computer-storage media are provided for augmenting Web-based search results with relevant content received from third-party applications. Each of a plurality of third-party applications is registered to obtain an indication of entity types associated with the each registered third-party application. An annotated search query is received that includes the original inputted search query and at least an entity type associated with the search query. The annotated search query is communicated to those third-party applications having an indicated entity type that matches the entity type associated with the inputted search query. Search results that are relevant to the annotated search query are received from the applications and presented on a results page.",41회,"Augmenting search results with relevant third-party application content
A Kumar, S Sadhukha, MW O'connor, Z Jiang - US Patent 9,104,787, 2015
41회 인용 관련 학술자료 전체 4개의 버전",,,,"Amit Kumar, Shajib Sadhukha, Michael William O'connor, Zhaowei Jiang",US,9104787,13714747,
"Determination of volatile organic compounds and associated health risk assessment in residential homes and hostels within an academic institute, N ew D elhi","A Kumar, BP Singh, M Punia, D Singh, K Kumar, VK Jain",2014/10,,24,5,474-483,,"The purpose of this study was to investigate the concentrations of volatile organic compounds (VOCs) in different indoor microenvironments of residential homes and hostels in an academic institute, in New Delhi, during March–May 2011. Eleven VOCs (aromatic and halogenated) were assessed. Sampling and analytical procedure were based on National Institute for Occupational Safety and Health (NIOSH) standard method. The lifetime cancer and non‐cancer risk were calculated for targeted VOCs using US Environmental Protection Agency guidelines. The mean concentrations of ∑ VOCs (sum of monitored VOCs) and individual VOC were found to be higher indoors as compared to outdoors at both types of premises. Indoor to outdoor (I/O) ratios of the targeted VOCs exceeded 1.0, suggesting the significant presence of indoor sources. Strong correlations between I/O concentrations of VOCs in the current study …",41회,"Determination of volatile organic compounds and associated health risk assessment in residential homes and hostels within an academic institute, N ew D elhi
A Kumar, BP Singh, M Punia, D Singh, K Kumar… - Indoor Air, 2014
41회 인용 관련 학술자료 전체 5개의 버전",,Indoor Air,,,,,,
Charge transport in films of Geobacter sulfurreducens on graphite electrodes as a function of film thickness,"Partha Sarathi Jana, Krishna Katuri, Paul Kavanagh, Amit Kumar, Dónal Leech",2014,,16,19,9039-9046,Royal Society of Chemistry,"Harnessing, and understanding the mechanisms of growth and activity of, biofilms of electroactive bacteria (EAB) on solid electrodes is of increasing interest, for application to microbial fuel and electrolysis cells. Microbial electrochemical cell technology can be used to generate electricity, or higher value chemicals, from organic waste. The capability of biofilms of electroactive bacteria to transfer electrons to solid anodes is a key feature of this emerging technology, yet the electron transfer mechanism is not fully characterized as yet. Acetate oxidation current generated from biofilms of an EAB, Geobacter sulfurreducens, on graphite electrodes as a function of time does not correlate with film thickness. Values of film thickness, and the number and local concentration of electrically connected redox sites within Geobacter sulfurreducens biofilms as well as a charge transport diffusion co-efficient for the biofilm can be …",41회,"Charge transport in films of Geobacter sulfurreducens on graphite electrodes as a function of film thickness
PS Jana, K Katuri, P Kavanagh, A Kumar, D Leech - Physical Chemistry Chemical Physics, 2014
41회 인용 관련 학술자료 전체 7개의 버전",,Physical Chemistry Chemical Physics,,,,,,
"Cloud computing for improved healthcare: Techniques, potential and challenges","Roma Chauhan, Amit Kumar",2013/11/21,,,,1-4,IEEE,With the advent of technology the healthcare solutions can be delivered to the intended user by enabling technology solution. The traditional healthcare methodology is being replaced by smarter health care clouds. The research highlights on potential and challenges of integrating cloud enabled healthcare systems. The Software as a Service (SaaS) for healthcare is developed to handle readily changing doctor and patient needs across the globe. The paper highlights benefits and challenges of using cloud based healthcare systems. Further the discussions are applied on the different health care clouds and models that can be implemented by the healthcare industry. It further illustrates architecture and leading providers of SaaS based solutions to the healthcare practitioners. How the companies have applied SaaS for viable business healthcare model. Discussions are also applied on how data mining techniques …,41회,"Cloud computing for improved healthcare: Techniques, potential and challenges
R Chauhan, A Kumar - 2013 E-Health and Bioengineering Conference (EHB), 2013
41회 인용 관련 학술자료 전체 3개의 버전",2013 E-Health and Bioengineering Conference (EHB),,,,,,,
Post Ugi gold (I)-and platinum (II)-catalyzed alkyne activation: synthesis of diversely substituted fused azepinones and pyridinones,"Amit Kumar, Dipak D Vachhani, Sachin G Modha, Sunil K Sharma, Virinder S Parmar, EV Eycken",2013/9/17,,45,18,2571-2582,© Georg Thieme Verlag,"Page 1. Journal of Synthetic Organic Chemistry SUPPORTING INFORMATION SYNTHESIS Thieme Supporting Information for DOI: 10.1055/s-0033-1339474 © Georg Thieme Verlag KG Stuttgart · New York 2013 Page 2. S1 SUPPORTING INFORMATION Post Ugi Gold(I)- and Platinum(II)-catalyzed alkyne activation: Synthesis of diversely substituted fused azepinones and pyridinones Amit Kumar,a,b Dipak D. Vachhani,a Sachin G. Modha,*a,c Sunil K. Sharma,b Virinder S. Parmar,b Erik V. Van der Eycken*a aLaboratory for Organic & Microwave-Assisted Chemistry (LOMAC), Department of Chemistry, KU Leuven, Celestijnenlaan 200F, B-3001, Leuven, Belgium. bBioorganic Laboratory, Department of Chemistry, University of Delhi, Delhi-110 007, India. cPresent address: “Mani Bhuvan”, near Lohana Mahajan Vadi, Chhaya-360578, Porbandar, Gujarat, India …",41회,"Post Ugi gold (I)-and platinum (II)-catalyzed alkyne activation: synthesis of diversely substituted fused azepinones and pyridinones
A Kumar, DD Vachhani, SG Modha, SK Sharma… - Synthesis, 2013
41회 인용 관련 학술자료 전체 5개의 버전",,Synthesis,,,,,,
Inorganic versus organic selenium supplementation: a review.,"Amit Kumar Verma, Amit Kumar, Anu Rahal, Vinod Kumar, Debashis Roy",2012/5/1,Pakistan journal of biological sciences: PJBS,15,9,418-425,,"Selenium is an essential trace element in the diets which is required for maintenance of health, growth and biochemical-physiological functions. The area covered in this review has been rapidly unfolding in recent years and has already acquired a vast spread. This study presents a concise introductory overview of the effect of organic and inorganic selenium on growth performance, carcass traits, daily egg production, egg quality, Se uptake in various tissues and plasma and plasma glutathione peroxidase activity in animals.",41회,"Inorganic versus organic selenium supplementation: a review.
AK Verma, A Kumar, A Rahal, V Kumar, D Roy - Pakistan journal of biological sciences: PJBS, 2012
41회 인용 관련 학술자료 전체 2개의 버전",,,,,,,,
Non-esterified fatty acids generate distinct low-molecular weight amyloid-β (Aβ42) oligomers along pathway different from fibril formation,"Amit Kumar, Rebekah L Bullard, Pritesh Patel, Lea C Paslay, Dipti Singh, Ewa A Bienkiewicz, Sarah E Morgan, Vijayaraghavan Rangachari",2011/4/19,,6,4,e18759,Public Library of Science,"Amyloid-β (Aβ) peptide aggregation is known to play a central role in the etiology of Alzheimer’s disease (AD). Among various aggregates, low-molecular weight soluble oligomers of Aβ are increasingly believed to be the primary neurotoxic agents responsible for memory impairment. Anionic interfaces are known to influence the Aβ aggregation process significantly. Here, we report the effects of interfaces formed by medium-chain (C9–C12), saturated non-esterified fatty acids (NEFAs) on Aβ42 aggregation. NEFAs uniquely affected Aβ42 aggregation rates that depended on both the ratio of Aβ:NEFA as well the critical micelle concentration (CMC) of the NEFAs. More importantly, irrespective of the kind of NEFA used, we observed that two distinct oligomers, 12–18 mers and 4–5 mers were formed via different pathway of aggregation under specific experimental conditions: (i) 12–18 mers were generated near the CMC in which NEFAs augment the rate of Aβ42 aggregation towards fibril formation, and, (ii) 4–5 mers were formed above the CMC, where NEFAs inhibit fibril formation. The data indicated that both 12–18 mers and 4–5 mers are formed along an alternate pathway called ‘off-pathway’ that did not result in fibril formation and yet have subtle structural and morphological differences that distinguish their bulk molecular behavior. These observations, (i) reflect the possible mechanism of Aβ aggregation in physiological lipid-rich environments, and (ii) reiterate the fact that all oligomeric forms of Aβ need not be obligatory intermediates of the fibril formation pathway.",41회,"Non-esterified fatty acids generate distinct low-molecular weight amyloid-β (Aβ42) oligomers along pathway different from fibril formation
A Kumar, RL Bullard, P Patel, LC Paslay, D Singh… - PloS one, 2011
41회 인용 관련 학술자료 전체 22개의 버전",,PloS one,,,,,,
"The effect of Ni substitution on magnetic, dielectric and magnetoelectric properties in BiFe1− xNixO3 system","Amit Kumar, KL Yadav",2010/11/15,,405,22,4650-4654,North-Holland,"Multiferroic nanoceramics BiFe1−xNixO3 (where x=0, 0.15, 0.20, and 0.25) were prepared by the sol–gel method. XRD analysis of samples calcined at a low temperature of 400 °C for 2 h shows the formation of a single phase perovskite rhombohedral structure. Average particle size was observed to be ∼50 nm by TEM measurement. Magnetization was found to increase with increase in the concentration of Ni. Dielectric constant and dielectric loss were measured up to 1 MHz frequency. Variation of dielectric constant with temperature shows a peak at ∼395 °C (Neel temperature) for x=0.15 and the peak shifts towards lower temperature at a higher concentration of Ni with diffused type of phase transition. Magnetocapacitance was found to decrease with magnetic field. For BiFe1−xNixO3 (with x=0.15, 0.20, 0.25) nanoceramics, the fractional change of the magnetic field induced a change in the dielectric constant …",41회,"The effect of Ni substitution on magnetic, dielectric and magnetoelectric properties in BiFe1− xNixO3 system
A Kumar, KL Yadav - Physica B: Condensed Matter, 2010
41회 인용 관련 학술자료 전체 8개의 버전",,Physica B: Condensed Matter,,,,,,
Anti inflammatory and wound healing activity of Curcuma aromatica salisb extract and its formulation,"Amit Kumar, Rajiv Chomwal, Praveen Kumar, Renu Sawal",2009,,1,1,304-310,,"Anti-inflammatory and wound healing activity of topical application of Curcuma aromatica Salisb. rhizome extract and is cream formulations in Arachidonic acid-induced ear inflammation and excision wound model was confirmed in albino mice. The extraction of these rhizomes was carried out by ethanol. The ethanol extract and formulations exhibited significant antiinflammatory activity in arachidonic acid-induced ear inflammation. It also showed significant wound healing activity in excision wound model. Thus, resultant anti-inflammatory activity might be due to effects on several mediators and arachidonic acid metabolism involving cyclooxygenase pathway resulting in prostaglandin synthesis.",41회,"Anti inflammatory and wound healing activity of Curcuma aromatica salisb extract and its formulation
A Kumar, R Chomwal, P Kumar, R Sawal - Journal of Chemical and Pharmaceutical Research, 2009
41회 인용 관련 학술자료 전체 2개의 버전",,Journal of Chemical and Pharmaceutical Research,,,,,,
Influence of silicon content and heat treatment parameters on mechanical properties of cast Al–Si–Mg alloys,"DK Dwivedi, R Sharma, A Kumar",2006/10/1,,19,5,275-282,Taylor & Francis,"The influence of silicon content and solution and aging temperature on microstructure and mechanical properties, and mode of fracture of cast Al–(4–20)Si–0·3Mg alloys is reported. Alloys were prepared by controlled melting, casting and heat treatment. Increasing solution temperature from 450 to 550°C and aging temperature from 150 to 230°C increased the tensile strength of all the Al–Si–Mg alloys. High solution temperatures produce greater refinement and distribution of eutectic silicon grains than low temperatures. Scanning electron microscopy of tensile fracture surfaces showed that the fracture surface of specimens treated at higher solution and aging temperatures is characterised by finer, equaixed dimples than that of specimens heat treated at lower temperatures.",41회,"Influence of silicon content and heat treatment parameters on mechanical properties of cast Al–Si–Mg alloys
DK Dwivedi, R Sharma, A Kumar - International Journal of Cast Metals Research, 2006
41회 인용 관련 학술자료 전체 4개의 버전",,International Journal of Cast Metals Research,,,,,,
