제목,저자,게시 날짜,저널,권,호,페이지,게시자,설명,전체 인용횟수,학술 문서,컨퍼런스,도서,출처,기관,발명자,특허청,출원번호,특허 번호
Guilt in the classroom,Christopher Williams,1998/1/1,,,,233-243,Academic Press,"Publisher Summary
Traditionally, guilt is viewed as a source of psychopathology. This chapter summarizes ways in which guilt may be adaptive in the classroom environment. It reviews empirical data indicating that guilt shows adaptive relationships with a wide range of behaviors inside and outside the classroom. Relationships appear to be robust across age level and, indeed, similar findings appear in childhood and adulthood. Guilt is a social emotion. Greater guilt is positively correlated with healthy interpersonal relationships and with caring, considerate, honest, and trustworthy behavior. Guilt is inversely related to aggressive, acting-out behavior. Moreover, greater guilt is related to volunteerism and eschewal of racist attitudes, suggesting that individuals higher on guilt are more tolerant and accepting of others with backgrounds different from their own and more conscious of inequities. The relationship of guilt to …",22회,"Guilt in the classroom
C Williams - Guilt and children, 1998
22회 인용 관련 학술자료 전체 3개의 버전",,Guilt and children,,,,,,
Instantiating deformable models with a neural net,"Christopher KI Williams, Michael Revow, Geoffrey E Hinton",1997/10/1,Computer vision and image understanding,68,1,120-126,Academic Press,"Deformable models are an attractive approach to recognizing objects which have considerable within-class variability such as handwritten characters. However, there are severe search problems associated with fitting the models to data which could be reduced if a better starting point for the search were available. We show that by training a neural network to predict how a deformable model should be instantiated from an input image, such improved starting points can be obtained. This method has been implemented for a system that recognizes handwritten digits using deformable models, and the results show that the search time can be significantly reduced without compromising recognition performance.",21회,"Instantiating deformable models with a neural net
CKI Williams, M Revow, GE Hinton - Computer vision and image understanding, 1997
21회 인용 관련 학술자료 전체 20개의 버전",,,,,,,,
Letters of,Raymond Williams,2009/5,"Williams (Assistant Fish Division Administrator, Oregon Department of Fish and Wildlife) to G. Griffin (Protected Resources Division, NMFS Northwest Region) dated",12,,,,"New Left Books 1979. 390pp. Hardback£ 12, 75. In form (it's well over 400 pages long) this is an unusual book, being the well-edited reproduction of a series of interviews of taped discussions between the'subject'—Raymond Williams—and three members of the editorial committee of New Left Review. It is a form which has been used in recent years in the more directly political statements of such writers as Regis Debray and Santiago Carillo and, indeed, in articles in Marxism Today; but this is a more ambitious enterprise, in the sense that, though quite complex theoretical issues are included, a good deal of the genuine flexibility and mutual enrichment of good discussion gets across. I don't think the danger of such a form—the imposing of a suspiciously'rigged'pattern by the'interrogators'—is altogether avoided; but in general the dialogue form has encouraged a more direct, unaffected and open kind of talk and language than either the average article in NLR or Williams himself have often managed to achieve individually. That the discipline of clear communication imposed on both sides of the dialogue-form should have so successful and desirable an outcome is in itself a suggestive and encouraging fact.
One doesn't want, however, to overdo the question of form, important as it is. Themain thing about this interesting, and in many ways impressive book is that it helps us come to terms with the still developing contribution to socialist thinking of an impressive man. If it also helps him, that constitutes a bonus from which we shall all gain. For many years, and especially since the publication of Culture and Society in 1958, Raymond Williams has been …",20회,"Letters of
R Williams - Williams (Assistant Fish Division Administrator, Oregon …, 2009
19회 인용 관련 학술자료
Letter from*
R WILLIAM - 1772
1회 인용 관련 학술자료
etters L*
R Williams - 1982
전체 3개의 버전",,,,,,,,
How to pretend that correlated variables are independent by using difference observations,Christopher KI Williams,2005/1/1,,17,1,1-6,MIT Press,"In many areas of data modeling, observations at different locations (e.g., time frames or pixel locations) are augmented by differences of nearby observations (e.g., δ features in speech recognition, Gabor jets in image analysis). These augmented observations are then often modeled as being independent. How can this make sense? We provide two interpretations, showing (1) that the likelihood of data generated from an autoregressive process can be computed in terms of “independent” augmented observations and (2) that the augmented observations can be given a coherent treatment in terms of the products of experts model (Hinton, 1999).",20회,"How to pretend that correlated variables are independent by using difference observations
CKI Williams - Neural computation, 2005
20회 인용 관련 학술자료 전체 13개의 버전",,,Neural computation,,,,,
Localisation microscopy with quantum dots using non-negative matrix factorisation,"Ondřej Mandula, Ivana Šumanovac Šestak, Rainer Heintzmann, Christopher KI Williams",2014/10/6,Optics express,22,20,24594-24605,Optical Society of America,"We propose non-negative matrix factorisation with iterative restarts (iNMF) to model a noisy dataset of highly overlapping fluorophores with intermittent intensities. We can recover high-resolution images of individual sources from the optimised model, despite their high mutual overlap in the original data. Each source can have an arbitrary, unknown shape of the PSF and blinking behaviour. This allows us to use quantum dots as bright and stable fluorophores for localisation microscopy. We compare the iNMF results to CSSTORM, 3B and bSOFI. iNMF shows superior performance in the challenging task of super-resolution imaging using quantum dots. We can also retrieve axial localisation of the sources from the shape of the recovered PSF.",19회,"Localisation microscopy with quantum dots using non-negative matrix factorisation
O Mandula, IŠ Šestak, R Heintzmann, CKI Williams - Optics express, 2014
19회 인용 관련 학술자료 전체 13개의 버전",,,,,,,,
MFDTs: Mean field dynamic trees,"Nicholas J Adams, Amos J Storkey, Zoubin Ghahramani, Christopher KI Williams",2000/9/3,,3,,147-150,IEEE,"Tree structured belief networks are attractive for image segmentation tasks. However, networks with fixed architectures are not very suitable as they lead to blocky artefacts, and led to the introduction of dynamic trees (DTs). The Dynamic trees architecture provide a prior distribution over tree structures, and simulated annealing (SA) was used to search for structures with high posterior probability. In this paper we introduce a mean field approach to inference in DTs. We find that the mean field method captures the posterior better than just using the maximum a posteriori solution found by SA.",19회,"MFDTs: Mean field dynamic trees
NJ Adams, AJ Storkey, Z Ghahramani, CKI Williams - Proceedings 15th International Conference on Pattern …, 2000
19회 인용 관련 학술자료 전체 11개의 버전",Proceedings 15th International Conference on Pattern Recognition. ICPR-2000,,,,,,,
Bayesian inference for wind field retrieval,"Ian T Nabney, Dan Cornford, Christopher KI Williams",2000/1/1,Neurocomputing,30,1-4,3-11,Elsevier,"In many problems in spatial statistics it is necessary to infer a global problem solution by combining local models. A principled approach to this problem is to develop a global probabilistic model for the relationships between local variables and to use this as the prior in a Bayesian inference procedure. We use a Gaussian process with hyper-parameters estimated from numerical weather prediction models, which yields meteorologically convincing wind fields. We use neural networks to make local estimates of wind vector probabilities. The resulting inference problem cannot be solved analytically, but Markov Chain Monte Carlo methods allow us to retrieve accurate wind fields.",19회,"Bayesian inference for wind field retrieval
IT Nabney, D Cornford, CKI Williams - Neurocomputing, 2000
19회 인용 관련 학술자료 전체 15개의 버전",,,,,,,,
The Social Art Cinema: A Moment in the History of British Film and Television Culture,Christopher Williams,1996,Cinema: the Beginnings and the Future,,,190-200,U of Westminster P,"British cinema has fbur repr, rtations and a problem. The first reputation is for a kind of built-in mediocrity, a supposed lack of interest in visual style or formal elaboration which can also be perceived as emotional inhibition. Satyajit Ray's argr-rment was that the medium compels its user'to face facts, to probe, to revea, l, to get close to people and things; while the British nature inclines to the opposite; to stay aloof, to cloak harsh tmths with innuendoes'.'Ray thought British film-makers lacked the creative imagination to produce visible filmic equivalents of the conflicts, clashes or tensions which may or may not (he was not sure) have existed in British culture. The argument has been advanced in broadly sirnilar terms by many other writers. though with str-uctr-rral or intellectual terms replacing Ray's' natural'one.
The seconcl reputation is for realism. Many British films from different periods have engaged substantially with …",19회,"The Social Art Cinema: A Moment in the History of British Film and Television Culture
C Williams - Cinema: the Beginnings and the Future, 1996
19회 인용 관련 학술자료",,,,,,,,
Directional-unit boltzmann machines,"Richard S Zemel, Christopher KI Williams, Michael Mozer",1993,Advances in Neural Information Processing Systems,,,172-172,MORGAN KAUFMANN PUBLISHERS,"We present a general formulation for a network of stochastic directional units. This formulation is an extension of the Boltzmann machine in which the units are not binary, but take on values in a cyclic range, between 0 and 271'radians. The state of each unit in a Directional-Unit Boltzmann Machine (DUBM) is described by a complex variable, where the phase component specifies a direction; the weights are also complex variables. We associate a quadratic energy function, and corresponding probability, with each DUBM configuration. The conditional distribution of a unit's stochastic state is a circular version of the Gaussian probability distribution, known as the von Mises distribution. In a mean-field approximation to a stochastic DUBM, the phase component of a unit's state represents its mean direction, and the magnitude component specifies the degree of certainty associated with this direction. This combination of a value and a certainty provides additional representational power in a unit. We describe a learning algorithm and simulations that demonstrate a mean-field DUBM'S ability to learn interesting mappings.
Many kinds of information can naturally be represented in terms of angular, or directional, variables. A circular range forms a suitable representation for explicitly directional information, such as wind direction, as well as for information where the underlying range is periodic, such as days of the week or months of the year. In computer vision, tangent fields and optic flow fields are represented as fields of oriented line segments, each of which can be described by a magnitude and direction. Directions can also be used to represent a set …",19회,"Directional-unit boltzmann machines
RS Zemel, CKI Williams, M Mozer - Advances in Neural Information Processing Systems, 1993
19회 인용 관련 학술자료 전체 5개의 버전",,,,,,,,
Factored Shapes and Appearances for Parts-based Object Understanding.,"Seyed Mohammadali Eslami, Christopher KI Williams",2011/9/2,,,,1-12,,"Page 1. Factored Shapes and Appearances for Parts-based Object Understanding SM Ali Eslami Christopher KI Williams British Machine Vision Conference September 2, 2011 Page 2. Page 3. Classification Page 4. Localisation Page 5. Segmentation Page 6. This talk's focus (Panoramio/nicho593) Segment this 6 Page 7. 7 Page 8. 7 Page 9. Outline 1. The segmentation task 2. The FSA model 3. Experimental results 4. Discussion 8 Page 10. The segmentation task The image X The segmentation S 0 0 1 1 0 1 0 1 1 0 1 1 1 1 0 0 0 1 1 0 1 1 1 1 1 9 Page 11. The segmentation task 0 0 1 1 0 1 0 1 1 0 1 1 1 1 0 0 0 1 1 0 1 1 1 1 1 The image X The segmentation S The generative approach ► Construct a joint model of X and S parameterised by θ: p(X,S|θ) ► Learn θ given dataset Dtrain: arg maxθ p(Dtrain|θ) ► Return probable segmentation Stest given Xtest and θ: p(Stest|Xtest,θ) 10 Page 12. The segmentation task 0 0 1 1 …",18회,"Factored Shapes and Appearances for Parts-based Object Understanding.
SM Eslami, CKI Williams - BMVC, 2011
18회 인용 관련 학술자료 전체 36개의 버전",BMVC,,,,,,,
Model selection and adaptation of hyperparameters,"Carl Edward Rasmussen, Christopher KI Williams",2005,,,,105-128,MIT Press,"This chapter contains sections titled: The Model Selection Problem, Bayesian Model Selection, Cross-validation, Model Selection for GP Regression, Model Selection for GP Classification, Exercises",18회,"Model selection and adaptation of hyperparameters
CE Rasmussen, CKI Williams - 2005
18회 인용 관련 학술자료",,,,,,,,
Products of gaussians,"Christopher KI Williams, Felix V Agakov, Stephen N Felderhof",2001/1/1,,,,1017-1024,,"Ъ виан Р вигв ДН Е з вижг й и Шжг й из г мд жиз ДШг Е бг а в л з к ж а в к й а джг а зи бг аз гж и ж гб в иг джгк в гк ж аа бг а г и и К Й агл л гвз ж Шг бг аз в л мд жи з йзз вК аи гй и джг й и г йзз вз з азг йзз вИ йзЙ з в з з бда зижй ийж и джг й и в к ж ж зижй ийж К Я м б в ДНЕ Шжг й из г йзз в д в з л к ж з иг джг а зи Х вгж гбдгв виз в анз зИ ДОЕ джг й из г НЙ игж ШШ бг аз в ДПЕ джг й из г мд жиз гвзижй и гв гж в ЪДНЕ джг ззК
Ъ виан Р вигв ДН Е з вижг й и Шжг й из г мд жиз ДШг Е бг а в л з к ж а в к й а джг а зи бг аз гж и ж гб в иг джгк в гк ж аа бг а г и и К Св и з д д ж л гвз ж Шг бг аз в л мд жи з йзз вК Си з зн иг з и и в и з з и джг й и бг а л аа азг йзз вК Ргл к жИ йзз в з з бда зижй ийж И и джг й и в к ж ж зижй ийж К Эз в йзз в мд жиз з ииж и к з и д жб из и гжгй в анз з г и джг й и ж и ийж И л в Ц йаи л и ги ж бг азИ К К бг аз Ќв гк ж з ж и ж в гб к ж а зК агл л м б в и ж з з г и джг й из г йзз вз гвзижй и гв ДНЕ Шжг Й й из г йзз в д в з ДШг ШЕ л к ж з иг джг а зи Х вгж гбдгЙ в виз в анз з ДХ ЕИ джгк в гбда б ви жн ж зйаи иг джг а зи Шж в д а гбдгв виз в анз з ДШШ Е г и в н Ь дд в в з гд ДН Е ДОЕ Шжг Й й из г НЙ игж ШШ бг аз ДПЕ джг й из г мд жиз гвзижй и гв гж в ЪДНЕ джг ззК",18회,"Products of gaussians
CKI Williams, FV Agakov, SN Felderhof - NIPS, 2001
18회 인용 관련 학술자료 전체 6개의 버전",NIPS,,,,,,,
Fast unsupervised greedy learning of multiple objects and parts from video,"Michalis K Titsias, Christopher KI Williams",2004/6/27,,,,179-179,IEEE,"Williams and Titsias (2004) have shown how to carry out unsupervised greedy learning of multiple objects from images (GLOMO), building on the work of Jojic and Frey (2001). In this paper we show that the earlier work on GLOMO can be greatly speeded up for video sequence data by carrying out approximate tracking of the multiple objects in the scene. Our method is applied to raw image sequence data and extracts the objects one at a time. First, the moving background is learned, and moving objects are found at later stages. The algorithm recursively updates an appearance model of the tracked object so that possible occlusion of the object is taken into account which makes tracking stable. We apply this method to learn multiple objects in image sequences as well as articulated parts of the human body.",16회,"Fast unsupervised greedy learning of multiple objects and parts from video
MK Titsias, CKI Williams - 2004 Conference on Computer Vision and Pattern …, 2004
16회 인용 관련 학술자료 전체 7개의 버전",2004 Conference on Computer Vision and Pattern Recognition Workshop,,,,,,,
Learning about multiple objects in images: Factorial learning without factorial search,"Christopher KI Williams, Michalis K Titsias",2003,Advances in neural information processing systems,,,1415-1424,MIT; 1998,"We consider data which are images containing views of multiple objects. Our task is to learn about each of the objects present in the images. This task can be approached as a factorial learning problem, where each image must be explained by instantiating a model for each of the objects present with the correct instantiation parameters. A major problem with learning a factorial model is that as the number of objects increases, there is a combinatorial explosion of the number of configurations that need to be considered. We develop a method to extract object models sequentially from the data by making use of a robust statistical method, thus avoiding the combinatorial explosion, and present results showing successful extraction of objects from real images.",16회,"Learning about multiple objects in images: Factorial learning without factorial search
CKI Williams, MK Titsias - Advances in neural information processing systems, 2003
16회 인용 관련 학술자료 전체 7개의 버전",,,,,,,,
Covariance functions,"Carl Edward Rasmussen, Christopher KI Williams",2005,,,,79-104,MIT Press,"This chapter contains sections titled: Preliminaries, Examples of Covariance Functions, Eigenfunction Analysis of Kernels, Kernels for Non-vectorial Inputs, Exercises",15회,"Covariance functions
CE Rasmussen, CKI Williams - 2005
15회 인용 관련 학술자료",,,,,,,,
Adding constrained discontinuities to gaussian process models of wind fields,"Dan Cornford, Ian T Nabney, Christopher KI Williams",1999,,,,861-867,,"Gaussian Processes provide good prior models for spatial data, but can be too smooth. In many physical situations there are discontinuities along bounding surfaces, for example fronts in near-surface wind fields. We describe a modelling method for such a constrained discontinuity and demonstrate how to infer the model parameters in wind fields with MCMC sampling.",15회,"Adding constrained discontinuities to gaussian process models of wind fields
D Cornford, IT Nabney, CKI Williams - Advances in Neural Information Processing Systems, 1999
15회 인용 관련 학술자료 전체 18개의 버전",Advances in Neural Information Processing Systems,,,,,,,
Using Bayesian neural networks to classify segmented images,"Francesco Vivarelli, Christopher KI Williams",1997/7/7,,,,268-273,IET,"We present results that compare the performance of neural networks trained with two Bayesian methods, (i) the evidence framework of D.J.C. MacKay (1992) and (ii) a Markov chain Monte Carlo method due to R.M. Neal (1996) on a task of classifying segmented outdoor images. We also investigate the use of the automatic relevance determination method for input feature selection.",15회,"Using Bayesian neural networks to classify segmented images
F Vivarelli, CKI Williams - Fifth International Conference on Artificial Neural …, 1997
15회 인용 관련 학술자료 전체 13개의 버전",Fifth International Conference on Artificial Neural Networks (Conf. Publ. No. 440),,,,,,,
Data de-duplication for serial-access storage media,,2014/3/4,,,,,,"Data storage and retrieval methods and apparatus are provided for facilitating data de-duplication for serial-access storage media such as tape. During data storage, input data is divided into a succession of chunks and, for each chunk, a corresponding data item is written to the storage media. The data item comprises the chunk data itself where it is the first occurrence of that data, and otherwise comprises a chunk-data identifier identifying that chunk of subject data. To facilitate reconstruction of the original data on read-back from the storage media a cache (50) is used together with a database (35R), stored on the media, that includes for each duplicated chunk, the location of the corresponding chunk of subject data.",14회,"Data de-duplication for serial-access storage media
C Williams, G Trezise, JP Buckingham, NT Hutchon… - US Patent 8,667,235, 2014
14회 인용 관련 학술자료 전체 4개의 버전",,,,,"Christopher Williams, Gregory Trezise, Jonathan Peter Buckingham, Neil Thomas Hutchon, Darren Edward Kent, Andrew Hana, Peter Walsh, Rafel Jibry, Robert Morling",US,13259739,8667235
Object localisation using the generative template of features,"Moray Allan, Christopher KI Williams",2009/7/1,Computer Vision and Image Understanding,113,7,824-838,Academic Press,"We introduce the Generative Template of Features (GTF), a parts-based model for visual object category detection. The GTF consists of a number of parts, and for each part there is a corresponding spatial location distribution and a distribution over ‘visual words’ (clusters of invariant features). The performance of the GTF is evaluated for object localisation, and it is shown that such a relatively simple model can give state-of-the-art performance. We also demonstrate how a Hough-transform-like method for object localisation can be derived from the GTF model.",14회,"Object localisation using the generative template of features
M Allan, CKI Williams - Computer Vision and Image Understanding, 2009
14회 인용 관련 학술자료 전체 16개의 버전",,,,,,,,
"Influence of hand grenade weight, shape and diameter on performance and subjective handling properties in relations to ergonomic design considerations","Cheng-Kang Yuan, Cheng-Lang Kuo",2006/3/1,Applied ergonomics,37,2,113-118,Elsevier,"Three hand-grenade design factors, namely shape (ball, oval, can), diameter (55, 60, and 65 mm) and weight (300, 400, and 500 g), were assessed. The objective criteria were (1) throwing distance from the grenade stop point to throwing point, and (2) error distance from the grenade stop point to the target. The subjective criteria were (3) the overall rating of handling (to hold and control) properties and (4) the rating of perceived exertions of throwing strength. Twenty ROC Army soldiers threw a Mark II practice grenade to familiarize them with the throwing procedure, and then, while standing, threw 21 experimental, mockup grenades at a target indicated by a flagpole 40 m away from the throwing point. Grenade weight had the greatest effect on both subjective and objective criteria. The 300 g grenade had the greatest throwing distance (38.6±6.5 m) and had the greatest accuracy (6.9±3.9 m). Grenade shape was …",14회,"Influence of hand grenade weight, shape and diameter on performance and subjective handling properties in relations to ergonomic design considerations
CK Yuan, CL Kuo - Applied ergonomics, 2006
14회 인용 관련 학술자료 전체 8개의 버전",,,,,,,,
On a connection between object localization with a generative template of features and pose-space prediction methods,"Christopher KI Williams, Moray Allan",2006/1,"School Informatics, Univ. of Edinburg, Edinburg, UK, Tech. Rep. EDI-INF-RR-0719",,,,,"We address the task of localizing objects from a given object class in an image. The image is represented as a collection of “visual words” at interest points. The generative template of features (GTF) model defines a distribution over visual words and their spatial locations for each part of the object (Sudderth et al., 2005; Fergus et al., 2005). We show how to derive pose-space prediction methods (such as the Hough transform) from the GTF.",14회,"On a connection between object localization with a generative template of features and pose-space prediction methods
CKI Williams, M Allan - School Informatics, Univ. of Edinburg, Edinburg, UK …, 2006
14회 인용 관련 학술자료 전체 11개의 버전",,,,,,,,
THE DEFINITION OF CURVED GEOMETRY FOR WIDESPAN,Chris JK Williams,2000,Widespan roof structures,,,41,Thomas Telford Services Limited,"If an enclosure is to be constructed of curved lines and surfaces rather than straight lines and flat planes, the questions arise as to how the geometry is first to be chosen and then how it can be defined with sufficient accuracy for the structure to be built and clad. There are clearly many ways that the geometry can be chosen and defined, but they fall into three broad categories and the methods used on any one project may fall into more than one of these categories. The categories are:",14회,"THE DEFINITION OF CURVED GEOMETRY FOR WIDESPAN
CJK Williams - Widespan roof structures, 2000
14회 인용 관련 학술자료 전체 5개의 버전",,,,,,,,
Hand-printed digit recognition using deformable models,"Christopher KI Williams, Michael D Revow, Geoffrey E Hinton",1993,Spatial Vision in Humans and Robots,,,1-23,Cambridge Univ. Press,"Hand-printed characters can take on a great variety of shapes, especially when they are produced by a diverse population of writers. This variability makes the use of rigid templates impractical for hand-printed character recognition. It has long been realized (e. g. Ullmann, 1972; Burr, 1981b) that this limitation can be overcome by using elastically deformable models, and recent work (eg Yuille, 1990; Grenander et al., 1990) has provided a general framework for the problem. For images of single digits this framework implies that the best interpretation of an image is the model that minimizes an energy function that includes both the deformation energy of the digit model and the data misfit between the model and the image. An alternative approach to digit recognition is based on statistical pattern recognition techniques; an example is the use of a feedforward neural network for ZIP code digit recognition by le Cun et al.(1990). This method",14회,"Hand-printed digit recognition using deformable models
CKI Williams, MD Revow, GE Hinton - Spatial Vision in Humans and Robots, 1993
14회 인용 관련 학술자료 전체 2개의 버전",,,,,,,,
An evaluation of change point detection algorithms,"Gerrit JJ van den Burg, Christopher KI Williams",2020/3/13,arXiv preprint arXiv:2003.06222,,,,,"Change point detection is an important part of time series analysis, as the presence of a change point indicates an abrupt and significant change in the data generating process. While many algorithms for change point detection exist, little attention has been paid to evaluating their performance on real-world time series. Algorithms are typically evaluated on simulated data and a small number of commonly-used series with unreliable ground truth. Clearly this does not provide sufficient insight into the comparative performance of these algorithms. Therefore, instead of developing yet another change point detection method, we consider it vastly more important to properly evaluate existing algorithms on real-world data. To achieve this, we present the first data set specifically designed for the evaluation of change point detection algorithms, consisting of 37 time series from various domains. Each time series was annotated by five expert human annotators to provide ground truth on the presence and location of change points. We analyze the consistency of the human annotators, and describe evaluation metrics that can be used to measure algorithm performance in the presence of multiple ground truth annotations. Subsequently, we present a benchmark study where 13 existing algorithms are evaluated on each of the time series in the data set. This study shows that binary segmentation (Scott and Knott, 1974) and Bayesian online change point detection (Adams and MacKay, 2007) are among the best performing methods. Our aim is that this data set will serve as a proving ground in the development of novel change point detection algorithms.",13회,"An evaluation of change point detection algorithms
GJJ van den Burg, CKI Williams - arXiv preprint arXiv:2003.06222, 2020
13회 인용 관련 학술자료 전체 2개의 버전",,,,,,,,
Developing the agile implementation playbook for integrating evidence-based health care services into clinical practice,"Malaz A Boustani, Marjolein A Van der Marck, Nadia Adams, Jose M Azar, Richard J Holden, Horst C Vollmar, Sophia Wang, Christopher Williams, Catherine Alder, Shelley Suarez, Babar Khan, Ben Zarzaur, Nicole R Fowler, Ashley Overley, Craig A Solid, Alfonso Gatmaitan",2019/4,Academic Medicine,94,4,556,Wolters Kluwer Health,"Problem Despite the more than $32 billion the National Institutes of Health has invested annually, evidence-based health care services are not reliably implemented, sustained, or distributed in health care delivery organizations, resulting in suboptimal care and patient harm. New organizational approaches and frameworks that reflect the complex nature of health care systems are needed to achieve this goal.",13회,"Developing the agile implementation playbook for integrating evidence-based health care services into clinical practice
MA Boustani, MA Van der Marck, N Adams, JM Azar… - Academic Medicine, 2019
13회 인용 관련 학술자료 전체 8개의 버전",,,,,,,,
Assessing the utility of autofluorescence-based pulmonary optical endomicroscopy to predict the malignant potential of solitary pulmonary nodules in humans,"Sohan Seth, Ahsan R Akram, Paul McCool, Jody Westerfeld, David Wilson, Stephen McLaughlin, Kevin Dhaliwal, Christopher KI Williams",2016/8/23,Scientific reports,6,1,1-10,Nature Publishing Group,"Solitary pulmonary nodules are common, often incidental findings on chest CT scans. The investigation of pulmonary nodules is time-consuming and often leads to protracted follow-up with ongoing radiological surveillance, however, clinical calculators that assess the risk of the nodule being malignant exist to help in the stratification of patients. Furthermore recent advances in interventional pulmonology include the ability to both navigate to nodules and also to perform autofluorescence endomicroscopy. In this study we assessed the efficacy of incorporating additional information from label-free fibre-based optical endomicrosopy of the nodule on assessing risk of malignancy. Using image analysis and machine learning approaches, we find that this information does not yield any gain in predictive performance in a cohort of patients. Further advances with pulmonary endomicroscopy will require the addition of …",13회,"Assessing the utility of autofluorescence-based pulmonary optical endomicroscopy to predict the malignant potential of solitary pulmonary nodules in humans
S Seth, AR Akram, P McCool, J Westerfeld, D Wilson… - Scientific reports, 2016
13회 인용 관련 학술자료 전체 16개의 버전",,,,,,,,
Clinical attributes and surgical outcomes of angiocentric gliomas,"Leonel Ampie, Winward Choy, Joseph D DiDomenico, Jonathan B Lamano, Christopher Kazu Williams, Kartik Kesavabhotla, Qinwen Mao, Orin Bloch",2016/6/1,,28,,117-122,Churchill Livingstone,"Angiocentric gliomas (AG) are exceedingly rare low-grade neoplasms which often present in the form of intractable epilepsy within younger patients. The current study extensively reviews all reported cases which were pathologically verified as AG in the literature to analyze clinical attributes and surgical outcomes of this neoplasm. There were 88 patients with AG reported in the literature consisting mostly of pediatric cases. The sex distribution consisted of 45 males and 36 females with the remaining seven cases not documenting sex. The average age of initial diagnosis was 16 years with almost half of all diagnosed patients being within the first decade of life. In cases where extent of resection was reported, gross total resection (GTR) was achieved in 54 patients, subtotal resection (STR) in 16, and biopsy only in three. Post-operative complications were transient and only occurred in three patients with no reports of …",13회,"Clinical attributes and surgical outcomes of angiocentric gliomas
L Ampie, W Choy, JD DiDomenico, JB Lamano… - Journal of Clinical Neuroscience, 2016
13회 인용 관련 학술자료 전체 9개의 버전",,,Journal of Clinical Neuroscience,,,,,
A framework for evaluating approximation methods for gaussian process regression,"Krzysztof Chalupka, Christopher KI Williams, Iain Murray",2012/5/29,arXiv preprint arXiv:1205.6326,,,,,"Gaussian process (GP) predictors are an important component of many Bayesian approaches to machine learning. However, even a straightforward implementation of Gaussian process regression (GPR) requires O (n^ 2) space and O (n^ 3) time for a dataset of n examples. Several approximation methods have been proposed, but there is a lack of understanding of the relative merits of the different approximations, and in what situations they are most useful. We recommend assessing the quality of the predictions obtained as a function of the compute time taken, and comparing to standard baselines (eg, Subset of Data and FITC). We empirically investigate four different approximation algorithms on four different prediction problems, and make our code available to encourage future comparisons.",13회,"A framework for evaluating approximation methods for gaussian process regression
K Chalupka, CKI Williams, I Murray - arXiv preprint arXiv:1205.6326, 2012
13회 인용 관련 학술자료 전체 7개의 버전",,,,,,,,
The Richard Burton Diaries,Christopher Williams,2012,,,,,Yale University Press,"The volume published for the first time the surviving diaries of Richard Burton. The diaries were written between 1939 and 1983 - throughout his career and the year of his celebrated marriages to Elizabeth Taylor. Diary entries appear in their original sequence, with annotations to clarify the people, places, books and events mentioned.",13회,"The Richard Burton Diaries
C Williams - 2012
13회 인용 관련 학술자료",,,,,,,,
Combining neural networks and belief networks for image segmentation,"Christopher KI Williams, Xiaojuan Feng",1998/9/2,,,,393-401,IEEE,"We are concerned with segmenting an image into a number of predefined classes. We show how to fuse together local predictions for the class labels with a prior model of segmentations using the scaled-likelihood method. The prior model is based on a tree-structured belief network. Both the neural network and belief network were trained on a set of training images, and then the combined system was used to make predictions on a set of test images. We show that the combined neural network/belief network classifier gives improved prediction accuracy on 9 out of the 11 classes.",13회,"Combining neural networks and belief networks for image segmentation
CKI Williams, X Feng - Neural Networks for Signal Processing VIII …, 1998
13회 인용 관련 학술자료 전체 5개의 버전",Neural Networks for Signal Processing VIII. Proceedings of the 1998 IEEE Signal Processing Society Workshop (Cat. No. 98TH8378),,,,,,,
Unsupervised learning of object models,"Christopher KI Williams, Richard S Zemel, Michael C Mozer",1993,AAAI Fall 1993 Symposium on Machine Learning in Computer Vision,,,20-24,,"Given a set of images, each of which contains one instance of a small but unknown set of objects imaged from a random viewpoint, we show how to perform unsupervised learning to discover the object classes. To group the data into objects we use a mixture model which is trained with the EM algorithm. We have investigated characterizing the the probability distribution for the features of each object either in terms of an object model or by a Gaussian distribution. We compare the performance of these two approaches on a dataset containing six di erent stick-animals, and on a dataset consisting of seven hand gestures.",13회,"Unsupervised learning of object models
CKI Williams, RS Zemel, MC Mozer - AAAI Fall 1993 Symposium on Machine Learning in …, 1993
13회 인용 관련 학술자료 전체 25개의 버전",,,,,,,,
Inverting supervised representations with autoregressive neural density models,"Charlie Nash, Nate Kushman, Christopher KI Williams",2019/4/11,,,,1620-1629,PMLR,"We present a method for feature interpretation that makes use of recent advances in autoregressive density estimation models to invert model representations. We train generative inversion models to express a distribution over input features conditioned on intermediate model representations. Insights into the invariances learned by supervised models can be gained by viewing samples from these inversion models. In addition, we can use these inversion models to estimate the mutual information between a model’s inputs and its intermediate representations, thus quantifying the amount of information preserved by the network at different stages. Using this method we examine the types of information preserved at different layers of convolutional neural networks, and explore the invariances induced by different architectural choices. Finally we show that the mutual information between inputs and network layers initially increases and then decreases over the course of training, supporting recent work by Shwartz-Ziv and Tishby (2017) on the information bottleneck theory of deep learning.",12회,"Inverting supervised representations with autoregressive neural density models
C Nash, N Kushman, CKI Williams - The 22nd International Conference on Artificial …, 2019
12회 인용 관련 학술자료 전체 5개의 버전",The 22nd International Conference on Artificial Intelligence and Statistics,,,,,,,
